"uniprotkb_canonical_ac","species","status","gene_symbol","uniprotkb_protein_name","ec_number","brenda_ec_number","cazy_gt_family","interpro_id","pfam_ac","go_molecular_function"
"O43286-1","Homo sapiens (Human)","reviewed","B4GALT5","Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)","2.4.1.-|2.4.1.274","2.4.1.38|2.4.1.90","GT7","IPR003859|IPR027791|IPR027995|IPR029044","PF02709|PF13733","galactosyltransferase activity [GO:0008378]|metal ion binding [GO:0046872]|N-acetyllactosamine synthase activity [GO:0003945]|UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity [GO:0008489]"
"O43505-1","Homo sapiens (Human)","reviewed","B4GAT1","Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)","2.4.1.-","2.4.1.149","GT49","","","glucuronosyltransferase activity [GO:0015020]|metal ion binding [GO:0046872]"
"O43825-1","Homo sapiens (Human)","reviewed","B3GALT2","Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)","2.4.1.86","2.4.1.62","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity [GO:0047275]|UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity [GO:0008499]"
"O43909-1","Homo sapiens (Human)","reviewed","EXTL3","Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3)","2.4.1.223","","GT47|GT64","IPR004263|IPR040911|IPR015338|IPR029044","PF03016|PF09258","glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity [GO:0001888]|metal ion binding [GO:0046872]|transferase activity, transferring glycosyl groups [GO:0016757]"
"O60512-1","Homo sapiens (Human)","reviewed","B4GALT3","Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3)","2.4.1.-|2.4.1.38|2.4.1.90","","GT7","IPR003859|IPR027791|IPR027995|IPR029044","PF02709|PF13733","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity [GO:0003831]|galactosyltransferase activity [GO:0008378]|metal ion binding [GO:0046872]|N-acetyllactosamine synthase activity [GO:0003945]"
"O60513-1","Homo sapiens (Human)","reviewed","B4GALT4","Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Lactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4)","2.4.1.-|2.4.1.275|2.4.1.90","2.4.1.275","GT7","IPR003859|IPR027791|IPR027995|IPR029044","PF02709|PF13733","galactosyltransferase activity [GO:0008378]|metal ion binding [GO:0046872]|N-acetyllactosamine synthase activity [GO:0003945]"
"O60568-1","Homo sapiens (Human)","reviewed","PLOD3","Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]","1.14.11.4|2.4.1.50|2.4.1.66","1.14.11.4|2.4.1.50|2.4.1.66","","IPR029044|IPR005123|IPR006620|IPR001006","PF03171","iron ion binding [GO:0005506]|L-ascorbic acid binding [GO:0031418]|procollagen galactosyltransferase activity [GO:0050211]|procollagen glucosyltransferase activity [GO:0033823]|procollagen-lysine 5-dioxygenase activity [GO:0008475]"
"O60656-1","Homo sapiens (Human)","reviewed","UGT1A9","UDP-glucuronosyltransferase 1-9 (UDPGT 1-9) (UGT1*9) (UGT1-09) (UGT1.9) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-I) (UGT-1I) (UGT1I) (UDP-glucuronosyltransferase 1A9) (lugP4)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","enzyme binding [GO:0019899]|enzyme inhibitor activity [GO:0004857]|glucuronosyltransferase activity [GO:0015020]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|retinoic acid binding [GO:0001972]|UDP-glycosyltransferase activity [GO:0008194]"
"O60762-1","Homo sapiens (Human)","reviewed","DPM1","Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)","2.4.1.83","2.4.1.83","GT2","IPR039528|IPR001173|IPR029044","PF00535","dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]|dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]"
"O60909-1","Homo sapiens (Human)","reviewed","B4GALT2","Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2)","2.4.1.-|2.4.1.38|2.4.1.22|2.4.1.90","2.4.1.38|2.4.1.90","GT7","IPR003859|IPR027791|IPR027995|IPR029044","PF02709|PF13733","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity [GO:0003831]|galactosyltransferase activity [GO:0008378]|lactose synthase activity [GO:0004461]|metal ion binding [GO:0046872]|N-acetyllactosamine synthase activity [GO:0003945]"
"O75310-1","Homo sapiens (Human)","reviewed","UGT2B11","UDP-glucuronosyltransferase 2B11 (UDPGT 2B11) (EC 2.4.1.17)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"O75752-1","Homo sapiens (Human)","reviewed","B3GALNT1","UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)","2.4.1.79","2.4.1.122|2.4.1.62|2.4.1.79|2.4.1.88","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity [GO:0047273]|UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity [GO:0008499]"
"O75795-1","Homo sapiens (Human)","reviewed","UGT2B17","UDP-glucuronosyltransferase 2B17 (UDPGT 2B17) (EC 2.4.1.17) (C19-steroid-specific UDP-glucuronosyltransferase) (C19-steroid-specific UDPGT)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"O94766-1","Homo sapiens (Human)","reviewed","B3GAT3","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)","2.4.1.135","2.4.1.135","GT43","IPR005027|IPR029044","PF03360","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity [GO:0015018]|glucuronosyltransferase activity [GO:0015020]|metal ion binding [GO:0046872]|protein phosphatase activator activity [GO:0072542]"
"O95395-1","Homo sapiens (Human)","reviewed","GCNT3","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)","2.4.1.102|2.4.1.148|2.4.1.150","2.4.1.102","GT14","IPR003406","PF02485","acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0047225]|beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0003829]|N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity [GO:0008109]"
"O95461-1","Homo sapiens (Human)","reviewed","LARGE1","LARGE xylosyl- and glucuronyltransferase 1 (EC 2.4.-.-) (Acetylglucosaminyltransferase-like 1A) (Glycosyltransferase-like protein) [Includes: Xylosyltransferase LARGE (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE (EC 2.4.1.-)]","2.4.-.-|2.4.2.-|2.4.1.-","","GT49|GT8","IPR002495|IPR029044","PF01501","acetylglucosaminyltransferase activity [GO:0008375]|glucuronosyltransferase activity [GO:0015020]|manganese ion binding [GO:0030145]|transferase activity, transferring glycosyl groups [GO:0016757]|UDP-xylosyltransferase activity [GO:0035252]|xylosyltransferase activity [GO:0042285]"
"O96024-1","Homo sapiens (Human)","reviewed","B3GALT4","Beta-1,3-galactosyltransferase 4 (Beta-1,3-GalTase 4) (Beta3Gal-T4) (Beta3GalT4) (GalT4) (b3Gal-T4) (EC 2.4.1.62) (Gal-T2) (Ganglioside galactosyltransferase) (UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase)","2.4.1.62","2.4.1.62","GT31","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|ganglioside galactosyltransferase activity [GO:0047915]|UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity [GO:0008499]"
"P00709-1","Homo sapiens (Human)","reviewed","LALBA","Alpha-lactalbumin (Lactose synthase B protein) (Lysozyme-like protein 7)","","","","IPR001916|IPR019799|IPR000545|IPR023346","PF00062","calcium ion binding [GO:0005509]|lactose synthase activity [GO:0004461]"
"P04843-1","Homo sapiens (Human)","reviewed","RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)","","","","IPR007676","PF04597","dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]|RNA binding [GO:0003723]"
"P06133-1","Homo sapiens (Human)","reviewed","UGT2B4","UDP-glucuronosyltransferase 2B4 (UDPGT 2B4) (EC 2.4.1.17) (HLUG25) (Hyodeoxycholic acid-specific UDPGT) (UDPGTh-1)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"P06737-1","Homo sapiens (Human)","reviewed","PYGL","Glycogen phosphorylase, liver form (EC 2.4.1.1)","2.4.1.1","2.4.1.1","GT35","IPR011833|IPR000811|IPR035090","PF00343","AMP binding [GO:0016208]|ATP binding [GO:0005524]|bile acid binding [GO:0032052]|drug binding [GO:0008144]|glucose binding [GO:0005536]|glycogen phosphorylase activity [GO:0008184]|linear malto-oligosaccharide phosphorylase activity [GO:0102250]|protein homodimerization activity [GO:0042803]|purine nucleobase binding [GO:0002060]|pyridoxal phosphate binding [GO:0030170]|SHG alpha-glucan phosphorylase activity [GO:0102499]|vitamin binding [GO:0019842]"
"P11216-1","Homo sapiens (Human)","reviewed","PYGB","Glycogen phosphorylase, brain form (EC 2.4.1.1)","2.4.1.1","","GT35","IPR011833|IPR000811|IPR035090","PF00343","glycogen phosphorylase activity [GO:0008184]|linear malto-oligosaccharide phosphorylase activity [GO:0102250]|pyridoxal phosphate binding [GO:0030170]|SHG alpha-glucan phosphorylase activity [GO:0102499]"
"P11217-1","Homo sapiens (Human)","reviewed","PYGM","Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)","2.4.1.1","","GT35","IPR011833|IPR000811|IPR035090","PF00343","glycogen phosphorylase activity [GO:0008184]|linear malto-oligosaccharide phosphorylase activity [GO:0102250]|nucleotide binding [GO:0000166]|pyridoxal phosphate binding [GO:0030170]|SHG alpha-glucan phosphorylase activity [GO:0102499]"
"P13807-1","Homo sapiens (Human)","reviewed","GYS1","Glycogen [starch] synthase, muscle (EC 2.4.1.11)","2.4.1.11","2.4.1.11","GT3","IPR008631","PF05693","glucose binding [GO:0005536]|glycogen (starch) synthase activity [GO:0004373]|glycogen synthase activity, transferring glucose-1-phosphate [GO:0061547]|protein kinase binding [GO:0019901]"
"P15291-1","Homo sapiens (Human)","reviewed","B4GALT1","Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]","2.4.1.-|2.4.1.38|2.4.1.22|2.4.1.90","2.4.1.133|2.4.1.38","GT7","IPR003859|IPR027791|IPR027995|IPR029044","PF02709|PF13733","alpha-tubulin binding [GO:0043014]|beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity [GO:0003831]|beta-tubulin binding [GO:0048487]|galactosyltransferase activity [GO:0008378]|lactose synthase activity [GO:0004461]|manganese ion binding [GO:0030145]|N-acetyllactosamine synthase activity [GO:0003945]|protein homodimerization activity [GO:0042803]|UDP-galactosyltransferase activity [GO:0035250]"
"P15907-1","Homo sapiens (Human)","reviewed","ST6GAL1","Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.99.1) (B-cell antigen CD75) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)","2.4.99.1","2.4.99.1","GT29","IPR001675|IPR038578|IPR012163","PF00777","beta-galactoside alpha-2,6-sialyltransferase activity [GO:0003835]|protein homodimerization activity [GO:0042803]|sialyltransferase activity [GO:0008373]"
"P16442-1","Homo sapiens (Human)","reviewed","ABO","Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]","2.4.1.40|2.4.1.37","2.4.1.37|2.4.1.40","GT6","IPR005076|IPR029044","PF03414","antigen binding [GO:0003823]|fucosylgalactoside 3-alpha-galactosyltransferase activity [GO:0004381]|glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity [GO:0004380]|manganese ion binding [GO:0030145]|nucleotide binding [GO:0000166]|transferase activity, transferring glycosyl groups [GO:0016757]"
"P16662-1","Homo sapiens (Human)","reviewed","UGT2B7","UDP-glucuronosyltransferase 2B7 (UDPGT 2B7) (EC 2.4.1.17) (3,4-catechol estrogen-specific UDPGT) (UDP-glucuronosyltransferase 2B9) (UDPGT 2B9) (UDPGTh-2)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"P19224-1","Homo sapiens (Human)","reviewed","UGT1A6","UDP-glucuronosyltransferase 1-6 (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6) (EC 2.4.1.17) (Phenol-metabolizing UDP-glucuronosyltransferase) (UDP-glucuronosyltransferase 1-F) (UGT-1F) (UGT1F) (UDP-glucuronosyltransferase 1A6)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","enzyme binding [GO:0019899]|glucuronosyltransferase activity [GO:0015020]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|UDP-glycosyltransferase activity [GO:0008194]"
"P19526-1","Homo sapiens (Human)","reviewed","FUT1","Galactoside 2-alpha-L-fucosyltransferase 1 (EC 2.4.1.344) (Alpha(1,2)FT 1) (Blood group H alpha 2-fucosyltransferase) (Fucosyltransferase 1) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1)","2.4.1.344","2.4.1.69","GT11","IPR002516","PF01531","fucosyltransferase activity [GO:0008417]|galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]"
"P21217-1","Homo sapiens (Human)","reviewed","FUT3","Galactoside 3(4)-L-fucosyltransferase (EC 2.4.1.65) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III)","2.4.1.65","2.4.1.65","GT10","IPR031481|IPR001503|IPR038577","PF17039|PF00852","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity [GO:0017060]|alpha-(1->3)-fucosyltransferase activity [GO:0046920]|fucosyltransferase activity [GO:0008417]"
"P22083-1","Homo sapiens (Human)","reviewed","FUT4","Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (ELAM-1 ligand fucosyltransferase) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)","2.4.1.-","2.4.1.152","GT10","IPR031481|IPR001503|IPR038577","PF17039|PF00852","alpha-(1->3)-fucosyltransferase activity [GO:0046920]|fucosyltransferase activity [GO:0008417]"
"P22309-1","Homo sapiens (Human)","reviewed","UGT1A1","UDP-glucuronosyltransferase 1-1 (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-A) (UGT-1A) (UGT1A) (UDP-glucuronosyltransferase 1A1)","2.4.1.17","2.4.1.17|2.4.1.95","GT1","IPR002213|IPR035595","PF00201","enzyme binding [GO:0019899]|enzyme inhibitor activity [GO:0004857]|glucuronosyltransferase activity [GO:0015020]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|retinoic acid binding [GO:0001972]|steroid binding [GO:0005496]|UDP-glycosyltransferase activity [GO:0008194]"
"P22310-1","Homo sapiens (Human)","reviewed","UGT1A4","UDP-glucuronosyltransferase 1-4 (UDPGT 1-4) (UGT1*4) (UGT1-04) (UGT1.4) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 2) (hUG-BR2) (UDP-glucuronosyltransferase 1-D) (UGT-1D) (UGT1D) (UDP-glucuronosyltransferase 1A4)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","enzyme binding [GO:0019899]|glucuronosyltransferase activity [GO:0015020]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|UDP-glycosyltransferase activity [GO:0008194]"
"P26572-1","Homo sapiens (Human)","reviewed","MGAT1","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)","2.4.1.101","","GT13","IPR004139|IPR029044","PF03071","acetylglucosaminyltransferase activity [GO:0008375]|alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0003827]|manganese ion binding [GO:0030145]"
"P35503-1","Homo sapiens (Human)","reviewed","UGT1A3","UDP-glucuronosyltransferase 1-3 (UDPGT 1-3) (UGT1*3) (UGT1-03) (UGT1.3) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-C) (UGT-1C) (UGT1C) (UDP-glucuronosyltransferase 1A3)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","enzyme binding [GO:0019899]|glucuronosyltransferase activity [GO:0015020]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|retinoic acid binding [GO:0001972]|UDP-glycosyltransferase activity [GO:0008194]"
"P35504-1","Homo sapiens (Human)","reviewed","UGT1A5","UDP-glucuronosyltransferase 1-5 (UDPGT 1-5) (UGT1*5) (UGT1-05) (UGT1.5) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-E) (UGT-1E) (UGT1E) (UDP-glucuronosyltransferase 1A5)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
